V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,PID,psid,K2,project,gc,term,Q_TotalDuration,med,consent,city,tap,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,PIIcomment,hardship,contact,trap,t01,t02,t03,t04,t05,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,SQcomment,LocationLatitude,LocationLongitude,LocationAccuracy
R_6J8GVgWTFjpCMZf,Default Response Set,Anonymous,,,71.237.114.154,0,2015-03-19 10:24:43,2015-03-19 10:26:58,1,1278618678,iZXUO4qzTRQLvdQTo1DmSA**,27197,Qual712-0618WaterUtilities,1,,135,19217638703143,1,2,1,2,4,4,4,4,1,7,4,7,7,Cooking,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,No further comments,39.683700561523,-104.91139984131,-1
R_8v5HySrY2ytDgSF,Default Response Set,Anonymous,,,71.255.167.10,0,2015-03-19 10:22:55,2015-03-19 10:27:14,1,1275251429,iZXUO4qzTRSoEFx7SbWUoQ**,27197,Qual712-0618WaterUtilities,1,,259,19167028950673,1,3,1,2,5,4,7,7,2,6,1,7,6,"Bathing, Clothes washing, dishes",1,1,1,7,3,4,3,6,4,6,4,5,4,6,4,4,2,4,7,4,4,I use bottled water for drinking and food preparation,42.322692871094,-71.084701538086,-1
R_1MufunByUbzR74p,Default Response Set,Anonymous,,,174.16.88.156,0,2015-03-19 10:28:55,2015-03-19 10:30:46,1,1079270002,iZXUO4qzTRSiTTIQ7oDFuQ**,27197,Qual712-0618WaterUtilities,1,,111,16221428102863,1,2,1,1,1,7,7,7,7,1,1,1,1,drinking,6,2,1,7,7,7,7,7,7,7,6,7,6,6,5,2,6,5,6,5,6,none,39.731994628906,-104.98390197754,-1
R_8bISLu9SripBKMl,Default Response Set,Anonymous,,,76.118.166.205,0,2015-03-19 10:28:20,2015-03-19 10:34:13,1,1277668610,iZXUO4qzTRT3Y1p2lWGQXA**,27197,Qual712-0618WaterUtilities,1,,353,19203359181103,1,3,1,1,1,7,7,7,4,4,4,4,4,"drink, hygiene, cook",4,1,1,7,7,6,7,7,4,6,4,7,4,7,4,4,6,4,4,4,4, ,42.242904663086,-71.009803771973,-1
R_eJQ8lYCPF7WZZnT,Default Response Set,Anonymous,,,75.82.251.182,0,2015-03-19 10:34:13,2015-03-19 10:34:28,1,1079323334,iZXUO4qzTRT2pkzBDNyHTg**,27197,Qual712-0618WaterUtilities,2,consent,15,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.972793579102,-118.35269927979,-1
R_8HsQCDba2o3QWCF,Default Response Set,Anonymous,,,24.61.83.147,0,2015-03-19 10:31:50,2015-03-19 10:35:46,1,1277782429,iZXUO4qzTRQfee8YbnrqBw**,27197,Qual712-0618WaterUtilities,1,,236,19205069880673,1,3,1,1,1,7,7,7,4,4,2,4,4,Drinking,4,1,1,7,6,6,6,3,6,7,4,6,6,6,4,6,6,6,7,6,6,None,42.505096435547,-71.204696655273,-1
R_2mLaBECS2fDUI5v,Default Response Set,Anonymous,,,75.128.51.173,0,2015-03-19 10:28:18,2015-03-19 10:37:17,1,1278618242,iZXUO4qzTRRjqMZIZ7Yc7w**,27197,Qual712-0618WaterUtilities,1,,539,19217632150063,1,1,1,1,1,7,7,7,5,4,6,4,6,Bathing cooking ,4,1,1,7,6,4,5,4,4,4,4,7,4,4,4,4,4,4,4,4,4,My landlord pays the bill.,34.02490234375,-117.89730072021,-1
R_6fMsOLIynNe26s5,Default Response Set,Anonymous,,,107.3.66.113,0,2015-03-19 10:37:00,2015-03-19 10:37:42,1,1278528958,iZXUO4qzTRQ1jUNrlc6Trg**,27197,Qual712-0618WaterUtilities,2,otherCity,42,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.51530456543,-70.907501220703,-1
R_6maL9qXSaIQz5l3,Default Response Set,Anonymous,,,98.118.23.152,0,2015-03-19 10:36:57,2015-03-19 10:38:09,1,1254561650,iZXUO4qzTRS-7KGg1r0GJg**,27197,Qual712-0618WaterUtilities,2,attention,72,,1,3,1,1,4,4,4,7,4,4,4,4,4,Showers,4,1,0,,,,,,,,,,,,,,,,,,,,41.635406494141,-70.943496704102,-1
R_42ZgNAK0bHDrRqZ,Default Response Set,Anonymous,,,173.55.90.178,0,2015-03-19 10:35:11,2015-03-19 10:39:20,1,1277283736,iZXUO4qzTRRbQ29hO40rKA**,27197,Qual712-0618WaterUtilities,1,,249,19197574524883,1,1,1,5,4,4,4,4,7,7,7,7,1,To shower,1,2,1,6,6,4,6,6,7,6,7,6,7,6,5,4,4,6,7,6,6,,34.118896484375,-117.85070037842,-1
R_dj99tdfpkgnHClf,Default Response Set,Anonymous,,,24.8.114.139,0,2015-03-19 10:38:15,2015-03-19 10:41:33,1,1208748500,iZXUO4qzTRSXqNFV5s4oBQ**,27197,Qual712-0618WaterUtilities,1,,198,18167489927803,1,2,1,1,2,6,6,7,6,2,2,2,2,drinking,1,2,1,7,6,6,6,7,7,6,7,7,7,7,7,6,6,6,7,7,7,great prices for water service,39.686599731445,-105.08999633789,-1
R_baagaKwQaVB4G8J,Default Response Set,Anonymous,,,72.244.63.203,0,2015-03-19 10:39:34,2015-03-19 10:42:10,1,1079216629,iZXUO4qzTRSgP1-RqhqTrA**,27197,Qual712-0618WaterUtilities,1,,156,16220625906673,1,2,1,1,1,7,7,7,6,4,1,4,3,drink,4,1,1,7,7,7,7,7,4,7,4,7,4,7,4,4,4,4,4,4,4,none,39.705505371094,-104.96640014648,-1
R_b1R79XD2BfjZ7Dv,Default Response Set,Anonymous,,,209.6.148.78,0,2015-03-19 10:42:33,2015-03-19 10:44:31,1,1233241796,iZXUO4qzTRQ66OQYcQ1L7Q**,27197,Qual712-0618WaterUtilities,1,,118,18535624166683,1,3,1,1,1,7,7,7,5,3,1,3,2,Cooking and Cleaning,1,2,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,42.32209777832,-71.133399963379,-1
R_9Sldip5IRRY7N1H,Default Response Set,Anonymous,,,172.56.38.132,0,2015-03-19 10:39:28,2015-03-19 10:44:50,1,1275723336,iZXUO4qzTRRcg1kAjxwLUg**,27197,Qual712-0618WaterUtilities,1,,322,19174121712883,1,1,1,6,5,5,5,6,7,5,4,7,6,Drinking water,2,1,1,7,6,6,7,4,7,7,7,5,6,7,7,6,7,6,6,5,7,Great service,34.052200317383,-118.24369812012,-1
R_efaATT0wvRBROrX,Default Response Set,Anonymous,,,70.209.193.174,0,2015-03-19 10:42:51,2015-03-19 10:46:47,1,1241602620,iZXUO4qzTRT8RFIF23YG6A**,27197,Qual712-0618WaterUtilities,1,,236,18661287351403,1,1,1,5,5,6,7,7,3,6,4,6,3,Showering and filtering through my Brita,1,1,1,4,4,4,5,4,3,3,4,4,4,4,3,3,4,3,4,4,4,,33.645095825195,-117.67860412598,-1
R_0fiw9NjMUcnyXat,Default Response Set,Anonymous,,,146.115.61.46,0,2015-03-19 10:47:17,2015-03-19 10:50:30,1,1079462480,iZXUO4qzTRRlJAbn2a_Zag**,27197,Qual712-0618WaterUtilities,1,,193,16224321047203,1,3,1,5,6,2,2,2,2,6,6,6,6,washing dishes,2,1,1,5,1,5,2,5,5,5,4,5,4,5,4,4,4,4,5,4,5,noe,42.278793334961,-71.443496704102,-1
R_3z4x4kkj7FollFr,Default Response Set,Anonymous,,,107.2.212.79,0,2015-03-19 10:41:40,2015-03-19 10:50:42,1,1243149552,iZXUO4qzTRTgnh0RoKVDeA**,27197,Qual712-0618WaterUtilities,1,,542,18684537739363,1,2,1,1,4,4,7,7,5,2,2,4,4,kids bath time,1,1,1,6,5,4,3,4,4,5,4,5,4,4,4,4,5,4,1,5,4,,39.866302490234,-105.00610351562,-1
R_d0Z8PMemA59EnOJ,Default Response Set,Anonymous,,,172.56.11.68,0,2015-03-19 10:49:21,2015-03-19 10:51:02,1,1258779960,iZXUO4qzTRSlfTiWfbumrw**,27197,Qual712-0618WaterUtilities,1,,101,18919462771603,1,3,1,7,7,1,1,1,5,7,7,7,7,To drink ,2,2,1,7,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,,38,-97,-1
R_6FooFC8wzCqFxD7,Default Response Set,Anonymous,,,70.57.227.73,0,2015-03-19 10:46:15,2015-03-19 10:51:53,1,1268718951,iZXUO4qzTRTVkBrCeKvcJw**,27197,Qual712-0618WaterUtilities,1,,338,19068845806333,1,1,1,3,4,5,6,6,4,4,4,5,4,"Washing dishes, showering, and brushing teeth. Flushing the toilet is also an essential function of tap water.",2,2,1,7,5,7,4,7,7,7,7,7,7,7,6,7,7,7,7,6,6,,32.257202148438,-111.08090209961,-1
R_089ITqfJ8KWmDRP,Default Response Set,Anonymous,,,71.177.229.74,0,2015-03-19 10:49:32,2015-03-19 10:52:20,1,1255164372,iZXUO4qzTRSqITlUfnoZfw**,27197,Qual712-0618WaterUtilities,1,,168,18865120483963,1,1,1,1,1,7,7,7,4,6,7,4,4,showers,1,1,1,7,6,7,5,5,7,7,7,6,7,7,7,6,6,7,7,7,7,,33.907104492188,-118.07669830322,-1
R_4Yge6acdg4jaKEd,Default Response Set,Anonymous,,,173.60.51.81,0,2015-03-19 10:53:14,2015-03-19 10:57:20,1,1278618321,iZXUO4qzTRQW33PCwOqwEA**,27197,Qual712-0618WaterUtilities,1,,246,19217633337433,1,1,1,1,1,7,7,1,7,3,2,4,1,Drinking,1,2,1,7,7,7,5,7,7,6,6,6,6,6,6,4,7,6,7,4,7,n/a,33.828704833984,-118.11689758301,-1
R_djtE1sLBLJqkoyp,Default Response Set,Anonymous,,,71.110.46.78,0,2015-03-19 10:57:26,2015-03-19 10:58:16,1,1232141764,iZXUO4qzTRTyaeph9Pqw_Q**,27197,Qual712-0618WaterUtilities,2,attention,50,,1,1,1,2,2,2,6,7,6,2,2,2,2,Hcjvgiu,5,2,0,,,,,,,,,,,,,,,,,,,,33.793395996094,-118.12120056152,-1
R_2tcf6mYC2NdV7Ex,Default Response Set,Anonymous,,,71.211.130.19,0,2015-03-19 10:57:24,2015-03-19 10:59:40,1,1131853660,iZXUO4qzTRQP2x7zJCSunA**,27197,Qual712-0618WaterUtilities,1,,136,17011760482603,1,2,1,1,1,4,7,7,2,3,3,7,3,bathing,2,1,1,7,7,7,7,7,4,7,4,7,4,4,4,4,4,4,4,4,4,none,39.828796386719,-105.06069946289,-1
R_3Wbvk8ZjN1u2VkF,Default Response Set,Anonymous,,,172.56.39.137,0,2015-03-19 10:57:29,2015-03-19 11:01:01,1,1278487815,iZXUO4qzTRQC2FhdlUKzJw**,27197,Qual712-0618WaterUtilities,2,attention,212,,1,1,1,1,1,7,7,7,3,5,5,5,5,Shower and drinking,4,1,0,,,,,,,,,,,,,,,,,,,,34.052200317383,-118.24369812012,-1
R_0HATfOTLsRhgVNz,Default Response Set,Anonymous,,,50.164.157.112,0,2015-03-19 10:57:17,2015-03-19 11:03:52,1,1277779188,iZXUO4qzTRTT7btEOd_ciA**,27197,Qual712-0618WaterUtilities,1,,395,19205021168443,1,3,1,1,1,6,7,7,1,4,5,7,4,cooking,4,1,1,7,5,7,2,6,6,7,7,5,4,6,6,6,3,7,7,4,6,,42.442794799805,-71.23169708252,-1
R_cDch7oqbD7LXred,Default Response Set,Anonymous,,,166.171.184.93,0,2015-03-19 11:04:39,2015-03-19 11:05:15,1,1277585426,iZXUO4qzTRQS3FKCHwbbng**,27197,Qual712-0618WaterUtilities,2,noTapWater,36,,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.671401977539,-73.936096191406,-1
R_b26EKYQOcZlLpE9,Default Response Set,Anonymous,,,73.38.224.236,0,2015-03-19 10:53:49,2015-03-19 11:05:25,1,1277803749,iZXUO4qzTRTa8Zr4O0xpLw**,27197,Qual712-0618WaterUtilities,1,,696,19205390320273,1,3,1,1,4,7,7,7,4,4,4,4,4,"Drinking, washing clothes, shower and toilet.",1,1,1,6,3,3,2,6,4,4,4,4,4,4,4,4,2,4,6,6,5,I don't have any comments / ,41.873397827148,-70.63939666748,-1
R_cZIQpU7FgmTi5j7,Default Response Set,Anonymous,,,50.189.236.163,0,2015-03-19 11:01:38,2015-03-19 11:06:38,1,1225803830,iZXUO4qzTRT7gvKM1K6GKw**,27197,Qual712-0618WaterUtilities,1,,300,18423831537703,1,3,1,1,2,7,7,7,5,4,2,2,2,washing hands and taking showers,5,4,1,7,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,I feel grateful to have clean tap water,42.50129699707,-71.068901062012,-1
R_a3jRbInJYQ2zVL7,Default Response Set,Anonymous,,,12.37.143.65,0,2015-03-19 11:04:55,2015-03-19 11:07:24,1,1227137091,iZXUO4qzTRT1MuNWWs1cKg**,27197,Qual712-0618WaterUtilities,1,,149,18443870450533,1,1,1,1,2,3,5,7,1,7,6,7,6,Drinking,1,1,1,7,1,1,2,6,4,6,4,6,4,4,4,4,4,4,4,4,4,None,34.067398071289,-118.24229431152,-1
R_6hEXx2XbHjUnSMR,Default Response Set,Anonymous,,,98.245.219.141,0,2015-03-19 11:05:33,2015-03-19 11:09:37,1,1131970018,iZXUO4qzTRQGPXmHubv4YA**,27197,Qual712-0618WaterUtilities,1,,244,17013509343343,1,2,1,6,2,6,6,7,5,4,4,4,3,Bathing,2,1,1,6,7,5,5,6,6,6,6,7,6,6,4,4,4,5,6,6,6,no,39.714599609375,-105.2433013916,-1
R_3eBogT0x2etSon3,Default Response Set,Anonymous,,,104.33.65.69,0,2015-03-19 11:07:22,2015-03-19 11:10:55,1,1268877755,iZXUO4qzTRSI_CpG0XxrYA**,27197,Qual712-0618WaterUtilities,2,attention,213,,1,1,1,1,1,7,7,7,7,1,1,1,1,Drinking,2,1,0,,,,,,,,,,,,,,,,,,,,34.137893676758,-118.02590179443,-1
R_5dWpjXNxfz6naM5,Default Response Set,Anonymous,,,190.233.69.233,0,2015-03-19 11:11:55,2015-03-19 11:12:13,1,1278136387,iZXUO4qzTRSPQdQFDSg2Fw**,27197,Qual712-0618WaterUtilities,2,otherCity,18,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.043304443359,-77.028297424316,-1
R_dj34KrmHiqlR6fP,Default Response Set,Anonymous,,,174.29.43.157,0,2015-03-19 11:11:06,2015-03-19 11:13:52,1,1106325590,iZXUO4qzTRSKN-Tyj0Se7A**,27197,Qual712-0618WaterUtilities,1,,166,16628073590503,1,2,1,1,2,6,5,7,5,4,3,4,3,drinking water,1,2,1,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,,39.742706298828,-105.07260131836,-1
R_4SeH9onzVJdReEB,Default Response Set,Anonymous,,,70.192.38.181,0,2015-03-19 11:12:07,2015-03-19 11:14:24,1,1277801615,iZXUO4qzTRSho7QttrJ1yA**,27197,Qual712-0618WaterUtilities,1,,137,19205358246253,1,3,1,3,3,5,5,6,6,6,4,4,5,Coffee,1,1,1,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Na,42.485305786133,-71.441802978516,-1
R_5asP3dL6Haug7Xf,Default Response Set,Anonymous,,,96.41.116.76,0,2015-03-19 11:11:57,2015-03-19 11:14:36,1,1277810277,iZXUO4qzTRRlvWEvluj3ng**,27197,Qual712-0618WaterUtilities,1,,159,19205488436113,1,1,1,1,1,7,7,7,4,4,4,4,4,Cleaning,1,1,1,6,7,7,7,7,6,7,4,5,4,4,7,5,1,4,6,7,5,None,33.970901489258,-118.01940155029,-1
R_e9E4TysuSTONd3L,Default Response Set,Anonymous,,,65.175.217.43,0,2015-03-19 11:10:50,2015-03-19 11:14:57,1,1277381915,iZXUO4qzTRSfCC0RrW-NWQ**,27197,Qual712-0618WaterUtilities,1,,247,19199050155253,1,3,1,1,1,7,7,7,7,1,1,1,1,Shower,7,1,1,4,4,3,1,4,3,6,1,5,5,4,2,1,1,3,3,7,1,None,43.30290222168,-71.045997619629,-1
R_1zzLJUSDGm0fjy5,Default Response Set,Anonymous,,,67.176.9.217,0,2015-03-19 11:14:26,2015-03-19 11:16:22,1,1270597283,iZXUO4qzTRQeY3wJQ5QjlQ**,27197,Qual712-0618WaterUtilities,2,attention,116,,1,2,1,3,3,4,5,5,5,4,3,4,4,Cleaning,2,1,0,,,,,,,,,,,,,,,,,,,,39.581100463867,-104.95700073242,-1
R_eWZxDEAEt3lrN0V,Default Response Set,Anonymous,,,71.196.169.76,0,2015-03-19 11:12:40,2015-03-19 11:17:06,1,1239213281,iZXUO4qzTRRCluVVbHsuSw**,27197,Qual712-0618WaterUtilities,1,,266,18625375586233,1,2,1,1,1,4,7,6,4,4,1,4,4,"drinking, washing",3,2,1,6,6,6,6,6,4,6,4,6,4,6,4,4,4,4,4,4,4,,39.828796386719,-105.06069946289,-1
R_e5ImKcV1jwon9FX,Default Response Set,Anonymous,,,73.149.102.154,0,2015-03-19 11:16:00,2015-03-19 11:18:51,1,1263471747,iZXUO4qzTRSWntk-i9yeAw**,27197,Qual712-0618WaterUtilities,2,attention,171,,1,3,1,1,2,7,7,7,3,5,5,5,5,Showers,1,1,0,,,,,,,,,,,,,,,,,,,,38,-97,-1
R_cOTIGk4JF9Obknb,Default Response Set,Anonymous,,,70.192.24.150,0,2015-03-19 11:18:47,2015-03-19 11:23:12,1,1277775317,iZXUO4qzTRSGJvvcNRVOYw**,27197,Qual712-0618WaterUtilities,1,,265,19204962987313,1,3,1,1,1,5,7,7,4,2,3,3,3,Showering ,5,1,1,7,7,7,7,7,3,7,5,5,6,6,6,4,5,5,1,6,5,Water bills are very confusing. We should be charged for actual usage not a minimum,42.359603881836,-71.128700256348,-1
R_3QKHwYE3xJvVBit,Default Response Set,Anonymous,,,107.2.240.204,0,2015-03-19 11:23:40,2015-03-19 11:24:54,1,1275549105,iZXUO4qzTRR9WFWj_dhgoA**,27197,Qual712-0618WaterUtilities,2,attention,74,,1,2,1,4,4,4,5,4,4,4,4,4,4,drinking,4,2,0,,,,,,,,,,,,,,,,,,,,39.545700073242,-105.00219726562,-1
R_79bMoEssk6M2NTf,Default Response Set,Anonymous,,,108.7.223.24,0,2015-03-19 11:22:34,2015-03-19 11:25:30,1,1264892691,iZXUO4qzTRRS7TGl3a-11g**,27197,Qual712-0618WaterUtilities,1,,176,19011337118533,1,3,1,1,1,7,7,7,5,5,1,3,1,Drinking,1,1,1,7,6,6,3,6,4,6,4,5,4,6,4,4,4,4,6,4,6,,42.416595458984,-71.146896362305,-1
R_74BPunTWKeeDTgN,Default Response Set,Anonymous,,,70.211.139.158,0,2015-03-19 11:26:15,2015-03-19 11:26:33,1,1274902997,iZXUO4qzTRRF-JWaZFMakg**,27197,Qual712-0618WaterUtilities,2,noTapWater,18,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.951705932617,-118.29560089111,-1
R_38e51doHDPLBNg9,Default Response Set,Anonymous,,,108.243.209.205,0,2015-03-19 11:22:15,2015-03-19 11:27:10,1,1147200022,iZXUO4qzTRTJzpoXs-BU5A**,27197,Qual712-0618WaterUtilities,1,,295,17242416303463,1,1,1,3,3,5,5,5,5,5,3,4,3,"For cleaning, either myself or household",5,2,1,4,3,3,3,4,3,4,5,4,5,4,5,5,4,4,4,4,4,I don't drink tap water and neither does my family.,34.112503051758,-118.19079589844,-1
R_8bGxjxxzJlpevU9,Default Response Set,Anonymous,,,192.80.157.110,0,2015-03-19 11:29:33,2015-03-19 11:30:16,1,1261512913,iZXUO4qzTRSvmuqOE0ng5w**,27197,Qual712-0618WaterUtilities,2,attention,43,,1,1,1,3,3,4,5,6,5,4,3,6,6,clean ,6,6,0,,,,,,,,,,,,,,,,,,,,34.052993774414,-118.26419830322,-1
R_8ewrRLwB6Q58F8N,Default Response Set,Anonymous,,,166.171.186.197,0,2015-03-19 11:25:40,2015-03-19 11:32:53,1,1277749695,iZXUO4qzTRQ6rO_9bop4Bw**,27197,Qual712-0618WaterUtilities,1,,433,19204577888653,1,3,1,4,4,4,4,4,7,7,7,7,7,Bathing and personal hygiene,1,1,1,7,7,3,5,6,4,6,4,6,4,4,4,4,3,4,4,4,4,,40.726699829102,-73.998100280762,-1
R_0cCtfey5CeJz5KB,Default Response Set,Anonymous,,,50.133.145.54,0,2015-03-19 11:29:15,2015-03-19 11:33:36,1,1132068586,iZXUO4qzTRRTYN-yjo7lnw**,27197,Qual712-0618WaterUtilities,1,,261,17014990820383,1,3,1,1,1,6,7,7,6,3,1,4,2,"Bathing, cooking, cleaning, drinking",4,1,1,5,4,5,4,5,4,4,4,4,4,4,4,4,4,3,4,4,4,,42.349594116211,-71.074600219727,-1
R_6hd0bq8iUWPp3xz,Default Response Set,Anonymous,,,174.16.82.88,0,2015-03-19 11:30:44,2015-03-19 11:33:59,1,1277748655,iZXUO4qzTRTmB3T_ATjt1A**,27197,Qual712-0618WaterUtilities,1,,195,19204562257453,1,2,1,1,1,7,7,7,1,7,4,7,7,showering,1,1,1,7,6,5,5,7,4,4,4,4,4,7,4,4,4,4,2,4,5,,39.771301269531,-105.04989624023,-1
R_5vVgNWISywAIb3f,Default Response Set,Anonymous,,,108.215.224.24,0,2015-03-19 11:18:52,2015-03-19 11:34:12,1,1208500211,iZXUO4qzTRRrwPHi1ETl_Q**,27197,Qual712-0618WaterUtilities,2,otherCity,920,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.679306030273,-117.90550231934,-1
R_etznzXrQnSaekfP,Default Response Set,Anonymous,,,172.5.245.180,0,2015-03-19 11:33:52,2015-03-19 11:37:49,1,1277896981,iZXUO4qzTRTpww_8NXkjZA**,27197,Qual712-0618WaterUtilities,1,,237,19206791597233,1,1,1,1,2,7,7,7,4,3,2,4,3,Shower,2,3,1,6,2,6,1,5,6,5,5,4,4,4,4,4,4,4,5,4,4,I wish it tasted better,34.107299804688,-118.37190246582,-1
R_0poZyWeMfeeWvnT,Default Response Set,Anonymous,,,66.119.33.147,0,2015-03-19 11:34:44,2015-03-19 11:38:52,1,1275903842,iZXUO4qzTRQQCOGRg8xlfQ**,27197,Qual712-0618WaterUtilities,1,,248,19176834718063,1,2,1,2,3,6,6,6,5,5,4,5,4,"Cleaning, cooking, drinking.",4,2,1,4,4,5,4,5,5,5,4,4,5,4,5,5,4,5,5,5,5,N/A,38.649993896484,-90.533401489258,-1
R_25GtvKPYWO3FGHr,Default Response Set,Anonymous,,,172.56.23.171,0,2015-03-19 11:34:24,2015-03-19 11:39:34,1,1278619838,iZXUO4qzTRSB4osGhPESgg**,27197,Qual712-0618WaterUtilities,1,,310,19217656137943,1,3,1,4,2,7,7,6,6,3,2,6,2,Important to keep a good health,4,1,1,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,40.83740234375,-73.922302246094,-1
R_1LeL2NL3WGW3wr3,Default Response Set,Anonymous,,,24.181.236.214,0,2015-03-19 11:37:00,2015-03-19 11:40:30,1,1122088849,iZXUO4qzTRSZsZ_Lx0ofcg**,27197,Qual712-0618WaterUtilities,1,,210,16864995373273,1,3,1,2,2,6,6,7,5,6,3,5,3,drinking,5,2,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,42.752899169922,-71.583702087402,-1
R_3sA06WfobWKkce1,Default Response Set,Anonymous,,,24.205.137.95,0,2015-03-19 11:42:24,2015-03-19 11:43:19,1,1259689272,iZXUO4qzTRTKfJen2KVWFw**,27197,Qual712-0618WaterUtilities,2,otherCity,55,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.173797607422,-118.1701965332,-1
R_3Wq4VAEnc53RYsR,Default Response Set,Anonymous,,,209.6.227.55,0,2015-03-19 11:40:41,2015-03-19 11:43:40,1,1278121650,iZXUO4qzTRTfDEjnCzlW4w**,27197,Qual712-0618WaterUtilities,1,,179,19210168372303,1,3,1,1,1,7,7,7,1,7,1,7,7,"Personal care: shower, brushing teeth, etc",1,1,1,7,7,7,7,7,4,7,4,7,4,7,4,4,4,4,4,4,4,,42.372192382812,-71.178703308105,-1
R_8AM9n59q9tqC8Sh,Default Response Set,Anonymous,,,104.174.142.27,0,2015-03-19 11:43:35,2015-03-19 11:46:34,1,1079284153,iZXUO4qzTRQY2X3UB-5RXQ**,27197,Qual712-0618WaterUtilities,1,,179,16221640792393,1,1,1,3,3,5,4,6,4,4,6,4,4,shower,1,2,1,5,3,3,2,4,4,5,5,5,5,5,5,5,4,5,5,5,5,,33.934906005859,-118.36140441895,-1
R_8IhnBAnY7QHWFDv,Default Response Set,Anonymous,,,71.205.86.206,0,2015-03-19 11:42:12,2015-03-19 11:46:36,1,1272822225,iZXUO4qzTRSRmmAHjsbhSg**,27197,Qual712-0618WaterUtilities,2,attention,264,,1,2,1,5,3,5,6,6,4,5,7,7,6,CLEANING ,2,1,0,,,,,,,,,,,,,,,,,,,,42.518096923828,-83.263000488281,-1
R_3rX7Coar9Wlclzn,Default Response Set,Anonymous,,,67.215.250.149,0,2015-03-19 11:44:27,2015-03-19 11:46:46,1,1272654704,iZXUO4qzTRSL6eMPH00uuw**,27197,Qual712-0618WaterUtilities,1,,139,19128000173923,1,1,1,1,1,7,7,7,7,1,1,1,1,IT'S VERY REQUIRED,6,5,1,5,6,6,6,7,6,5,6,5,6,5,7,6,7,5,7,6,6,nice job! thanks!,33.763305664062,-117.79420471191,-1
R_cA4RgqQ1RzOzLtH,Default Response Set,Anonymous,,,72.93.28.43,0,2015-03-19 11:40:43,2015-03-19 11:46:56,1,1278447237,iZXUO4qzTRS8ZxppetYgWg**,27197,Qual712-0618WaterUtilities,1,,373,19215061944913,1,3,1,1,1,6,7,7,6,3,1,3,3,"cooking, drinking, washing",4,2,1,7,5,7,7,6,5,7,4,7,6,7,4,6,4,4,5,4,5,,42.373092651367,-71.01619720459,-1
R_0qa53p1OyucJCzH,Default Response Set,Anonymous,,,24.61.172.19,0,2015-03-19 11:52:32,2015-03-19 11:52:54,1,1079333565,iZXUO4qzTRTQFnG9u7lbEw**,27197,Qual712-0618WaterUtilities,2,otherCity,22,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.51530456543,-70.907501220703,-1
R_2c9okGA72RUiJCt,Default Response Set,Anonymous,,,168.103.202.152,0,2015-03-19 11:47:12,2015-03-19 11:53:14,1,1239212014,iZXUO4qzTRQ7ir4fV6-TgQ**,27197,Qual712-0618WaterUtilities,1,,362,18625356543223,1,2,1,1,1,5,7,6,1,7,6,4,3,drinking,2,1,1,7,7,7,6,6,6,7,4,6,4,6,4,4,6,4,6,4,6,,39.489501953125,-104.76760101318,-1
R_ekUEMU2KuIPEuZD,Default Response Set,Anonymous,,,72.74.65.71,0,2015-03-19 11:47:12,2015-03-19 11:53:36,1,1132188890,iZXUO4qzTRRPQ4TllB0Stg**,27197,Qual712-0618WaterUtilities,1,,384,17016798989503,1,3,1,1,2,4,7,7,3,6,4,6,7,cooking,1,1,1,7,7,7,3,7,6,6,5,6,5,6,4,4,5,4,6,4,6,has a chlorine taste      we use a filter on the faucet to corregt that ,41.774505615234,-70.651397705078,-1
R_cvRQHOL8lnK2s73,Default Response Set,Anonymous,,,50.177.26.102,0,2015-03-19 11:54:29,2015-03-19 11:55:38,1,1278623645,iZXUO4qzTRQoM1dA4FNYYQ**,27197,Qual712-0618WaterUtilities,2,attention,69,,1,3,1,4,4,4,4,3,2,6,4,4,4,Shower,1,1,0,,,,,,,,,,,,,,,,,,,,42.367797851562,-70.96900177002,-1
