Sample_No,Date_Sampled,Sample_Point,Zone,Measure,Result,Units
5198579,2017-06-12,S12112,Southwold,E Coli,0,Orgs/100mL
5198479,2017-06-08,S14755,Blancathey,Turbidity,0.2,NTU
5198516,2017-06-08,S14101,Pontybridge,Turbidity,0.2,NTU
5385373,2017-11-05,S13531,Southwold,E Coli,0,Orgs/100mL
5019065,2017-01-11,S13148,Paethsmouth,THMs,0.009,mg/L
5019067,2017-01-11,S13446,Wakefield,THMs,0.04,mg/L
5019093,2017-01-11,S18703,Pontybridge,THMs,0.007,mg/L
5019170,2017-01-15,S13531,Southwold,Turbidity,0.2,NTU
5385562,2017-11-08,S19541,Paethsmouth,E Coli,0,Orgs/100mL
5385298,2017-11-02,S14363,Swadlincote,Turbidity,0.1,NTU
5385288,2017-11-02,S17696,Tarnstead,Turbidity,0.1,NTU
5385269,2017-11-02,S15513,Merton,Turbidity,0.1,NTU
5385269,2017-11-02,S15513,Merton,E Coli,0,Orgs/100mL
5385287,2017-11-02,S13446,Wakefield,E Coli,0,Orgs/100mL
5385271,2017-11-02,S10129,Paethsmouth,E Coli,0,Orgs/100mL
5385285,2017-11-02,S13798,Snake's Canyon,E Coli,0,Orgs/100mL
5019057,2017-01-11,S11281,Snake's Canyon,Turbidity,0.2,NTU
5040048,2017-02-14,S17769,Bellmoral,THMs,0.009,mg/L
5040076,2017-02-15,S11254,Wakefield,Turbidity,0.1,NTU
5019475,2017-01-22,S12112,Southwold,Turbidity,0.2,NTU
5281068,2017-08-10,S15984,Blancathey,Turbidity,0.1,NTU
5281075,2017-08-10,S11281,Snake's Canyon,Turbidity,0.1,NTU
5280863,2017-08-02,S18255,Swadlincote,Turbidity,0.05,NTU
5306628,2017-08-02,S12119,Pontybridge,Turbidity,0.05,NTU
5281070,2017-08-10,S15513,Merton,Turbidity,0.1,NTU
5019059,2017-01-11,S13446,Wakefield,E Coli,0,Orgs/100mL
5198996,2017-06-22,S10129,Paethsmouth,E Coli,0,Orgs/100mL
5199024,2017-06-21,S17173,Swadlincote,THMs,0.003,mg/L
5019356,2017-01-17,S14733,Bellmoral,E Coli,0,Orgs/100mL
5019058,2017-01-11,S18682,Snake's Canyon,E Coli,0,Orgs/100mL
5019050,2017-01-11,S12012,Blancathey,E Coli,0,Orgs/100mL
5019383,2017-01-18,S14415,Blancathey,E Coli,0,Orgs/100mL
5019394,2017-01-18,S13230,Paethsmouth,E Coli,0,Orgs/100mL
5387336,2017-12-21,S13446,Wakefield,Turbidity,0.1,NTU
5387336,2017-12-21,S13446,Wakefield,E Coli,0,Orgs/100mL
5039774,2017-02-08,S16489,Paethsmouth,Turbidity,0.2,NTU
5039798,2017-02-08,S16589,Swadlincote,Turbidity,0.2,NTU
5039732,2017-02-07,S18588,Bellmoral,Turbidity,0.2,NTU
5018710,2017-01-05,S18344,Pontybridge,E Coli,0,Orgs/100mL
5018699,2017-01-04,S17906,Snake's Canyon,Turbidity,0.2,NTU
5018684,2017-01-05,S16451,Blancathey,Turbidity,0.2,NTU
5018686,2017-01-05,S16332,Paethsmouth,Turbidity,0.2,NTU
5019031,2017-01-10,S17620,Bellmoral,E Coli,0,Orgs/100mL
5018711,2017-01-05,S19836,Swadlincote,Turbidity,0.2,NTU
5018819,2017-01-08,S10133,Southwold,Turbidity,0.2,NTU
5018712,2017-01-05,S15280,Strathmore,Turbidity,0.1,NTU
5019066,2017-01-11,S11281,Snake's Canyon,THMs,0.006,mg/L
5385545,2017-11-08,S12012,Blancathey,E Coli,0,Orgs/100mL
5385297,2017-11-02,S16901,Pontybridge,Turbidity,0.1,NTU
5385299,2017-11-02,S14271,Strathmore,Turbidity,0.1,NTU
5385267,2017-11-02,S19811,Blancathey,E Coli,0,Orgs/100mL
5385268,2017-11-02,S14415,Blancathey,E Coli,0,Orgs/100mL
5040085,2017-02-15,S14065,Pontybridge,Turbidity,0.2,NTU
5040077,2017-02-15,S17696,Tarnstead,Turbidity,0.1,NTU
5252046,2017-07-13,S14901,Snake's Canyon,E Coli,0,Orgs/100mL
5252067,2017-07-13,S19836,Swadlincote,E Coli,0,Orgs/100mL
5252296,2017-07-19,S14790,Blancathey,Turbidity,0.05,NTU
5252042,2017-07-13,S12669,Paethsmouth,E Coli,0,Orgs/100mL
5280828,2017-08-02,S18186,Merton,E Coli,0,Orgs/100mL
5252027,2017-07-13,S11021,Blancathey,E Coli,0,Orgs/100mL
5252040,2017-07-13,S17075,Paethsmouth,E Coli,0,Orgs/100mL
5252068,2017-07-13,S14271,Strathmore,E Coli,0,Orgs/100mL
5280146,2017-07-12,S14733,Bellmoral,Turbidity,0.05,NTU
5252156,2017-07-16,S13500,Southwold,E Coli,0,Orgs/100mL
5252045,2017-07-13,S10837,Tarnstead,E Coli,0,Orgs/100mL
5281756,2017-08-30,S14363,Swadlincote,E Coli,0,Orgs/100mL
5281098,2017-08-09,S14101,Pontybridge,Turbidity,0.05,NTU
5281077,2017-08-10,S17721,Tarnstead,Turbidity,0.1,NTU
5281176,2017-08-13,S10133,Southwold,E Coli,0,Orgs/100mL
5198498,2017-06-08,S17058,Paethsmouth,THMs,0.006,mg/L
5132454,2017-04-20,S11076,Strathmore,E Coli,0,Orgs/100mL
5198748,2017-06-15,S13446,Wakefield,E Coli,0,Orgs/100mL
5198746,2017-06-15,S13798,Snake's Canyon,E Coli,0,Orgs/100mL
5198746,2017-06-15,S13798,Snake's Canyon,Turbidity,0.2,NTU
5198748,2017-06-15,S13446,Wakefield,Turbidity,0.1,NTU
5198500,2017-06-08,S18682,Snake's Canyon,THMs,0.005,mg/L
5198730,2017-06-14,S16276,Bellmoral,THMs,0.006,mg/L
5198741,2017-06-15,S13397,Merton,Turbidity,0.2,NTU
5131128,2017-04-06,S17721,Tarnstead,Turbidity,0.1,NTU
5198501,2017-06-08,S13840,Wakefield,THMs,0.032,mg/L
5172954,2017-05-10,S11254,Wakefield,E Coli,0,Orgs/100mL
5172949,2017-05-10,S17075,Paethsmouth,E Coli,0,Orgs/100mL
5019647,2017-01-26,S13856,Snake's Canyon,E Coli,0,Orgs/100mL
5019078,2017-01-11,S11422,Swadlincote,Turbidity,0.2,NTU
5019077,2017-01-11,S18703,Pontybridge,Turbidity,0.2,NTU
5019736,2017-01-29,S11715,Southwold,E Coli,0,Orgs/100mL
5019661,2017-01-26,S18186,Merton,THMs,0.005,mg/L
5039159,2017-02-01,S18186,Merton,E Coli,0,Orgs/100mL
5019687,2017-01-26,S14271,Strathmore,THMs,0.057,mg/L
5019736,2017-01-29,S11715,Southwold,Turbidity,0.2,NTU
5039209,2017-02-01,S14101,Pontybridge,E Coli,0,Orgs/100mL
5039209,2017-02-01,S14101,Pontybridge,Turbidity,0.2,NTU
5040063,2017-02-15,S15513,Merton,Turbidity,0.1,NTU
5039159,2017-02-01,S18186,Merton,Turbidity,0.2,NTU
5281730,2017-08-30,S12012,Blancathey,Turbidity,0.1,NTU
5281715,2017-08-29,S16669,Bellmoral,Turbidity,0.1,NTU
5281755,2017-08-30,S16901,Pontybridge,E Coli,0,Orgs/100mL
5281755,2017-08-30,S16901,Pontybridge,Turbidity,0.1,NTU
5281049,2017-08-08,S13874,Bellmoral,Turbidity,0.05,NTU
5039145,2017-01-31,S16669,Bellmoral,Turbidity,0.2,NTU
5281073,2017-08-10,S13230,Paethsmouth,E Coli,0,Orgs/100mL
5281073,2017-08-10,S13230,Paethsmouth,Turbidity,0.3,NTU
5281732,2017-08-30,S10129,Paethsmouth,E Coli,0,Orgs/100mL
5281730,2017-08-30,S12012,Blancathey,E Coli,0,Orgs/100mL
5281756,2017-08-30,S14363,Swadlincote,Turbidity,0.2,NTU
5281074,2017-08-10,S10990,Snake's Canyon,E Coli,0,Orgs/100mL
5281072,2017-08-10,S17058,Paethsmouth,E Coli,0,Orgs/100mL
5281566,2017-08-23,S19152,Paethsmouth,Turbidity,0.1,NTU
5306611,2017-08-02,S11858,Wakefield,Turbidity,0.05,NTU
5280924,2017-08-06,S13371,Southwold,E Coli,0,Orgs/100mL
5281568,2017-08-23,S13840,Wakefield,Turbidity,0.2,NTU
5281555,2017-08-23,S14975,Blancathey,Turbidity,0.2,NTU
5281569,2017-08-23,S17721,Tarnstead,Turbidity,0.1,NTU
5281587,2017-08-23,S11076,Strathmore,Turbidity,0.2,NTU
5281545,2017-08-22,S14758,Bellmoral,Turbidity,0.1,NTU
5281585,2017-08-23,S14065,Pontybridge,Turbidity,0.2,NTU
5172919,2017-05-09,S14758,Bellmoral,Turbidity,0.2,NTU
5172975,2017-05-10,S11076,Strathmore,Turbidity,0.1,NTU
5172967,2017-05-10,S17463,Snake's Canyon,THMs,0.005,mg/L
5172989,2017-05-10,S18344,Pontybridge,THMs,0.006,mg/L
5172952,2017-05-10,S17463,Snake's Canyon,Turbidity,0.2,NTU
5172948,2017-05-10,S15513,Merton,Turbidity,0.2,NTU
5172966,2017-05-10,S12669,Paethsmouth,THMs,0.006,mg/L
5172945,2017-05-10,S14790,Blancathey,Turbidity,0.2,NTU
5172974,2017-05-10,S19836,Swadlincote,Turbidity,0.2,NTU
5281567,2017-08-23,S13798,Snake's Canyon,Turbidity,0.1,NTU
5281565,2017-08-23,S18186,Merton,Turbidity,0.2,NTU
5281586,2017-08-23,S17173,Swadlincote,Turbidity,0.1,NTU
5172954,2017-05-10,S11254,Wakefield,Turbidity,0.1,NTU
5172973,2017-05-10,S18344,Pontybridge,Turbidity,0.1,NTU
5172951,2017-05-10,S12669,Paethsmouth,Turbidity,0.1,NTU
5198865,2017-06-18,S11715,Southwold,THMs,0.005,mg/L
5198756,2017-06-15,S14567,Tarnstead,THMs,0.041,mg/L
5198745,2017-06-15,S18691,Paethsmouth,E Coli,0,Orgs/100mL
5018699,2017-01-04,S17906,Snake's Canyon,E Coli,0,Orgs/100mL
5018671,2017-01-04,S14758,Bellmoral,E Coli,0,Orgs/100mL
5018685,2017-01-04,S18186,Merton,E Coli,0,Orgs/100mL
5093255,2017-03-16,S17906,Snake's Canyon,Turbidity,0.3,NTU
5093257,2017-03-16,S11858,Wakefield,Turbidity,0.2,NTU
5019384,2017-01-18,S15513,Merton,E Coli,0,Orgs/100mL
5019392,2017-01-18,S14487,Paethsmouth,E Coli,0,Orgs/100mL
5019413,2017-01-18,S14812,Swadlincote,E Coli,0,Orgs/100mL
5019414,2017-01-18,S16510,Strathmore,E Coli,0,Orgs/100mL
5019414,2017-01-18,S16510,Strathmore,Turbidity,8.82,NTU
5019382,2017-01-18,S14975,Blancathey,Turbidity,0.2,NTU
5019398,2017-01-18,S17696,Tarnstead,Turbidity,0.2,NTU
5690903,2018-07-18,S11021,Blancathey,E Coli,0,Orgs/100mL
5690912,2018-07-18,S16371,Snake's Canyon,E Coli,0,Orgs/100mL
5019395,2017-01-18,S10990,Snake's Canyon,E Coli,0,Orgs/100mL
5019398,2017-01-18,S17696,Tarnstead,E Coli,0,Orgs/100mL
5019391,2017-01-18,S14975,Blancathey,THMs,0.01,mg/L
5019408,2017-01-18,S17696,Tarnstead,THMs,0.057,mg/L
5019475,2017-01-22,S12112,Southwold,E Coli,0,Orgs/100mL
5173381,2017-05-23,S17620,Bellmoral,E Coli,0,Orgs/100mL
5690914,2018-07-18,S10837,Tarnstead,E Coli,0,Orgs/100mL
5690923,2018-07-18,S11254,Wakefield,THMs,0.038,mg/L
5039777,2017-02-08,S13840,Wakefield,E Coli,0,Orgs/100mL
5019393,2017-01-18,S17923,Paethsmouth,E Coli,0,Orgs/100mL
5039777,2017-02-08,S13840,Wakefield,Turbidity,0.2,NTU
5039758,2017-02-08,S15929,Blancathey,E Coli,0,Orgs/100mL
5039774,2017-02-08,S16489,Paethsmouth,E Coli,0,Orgs/100mL
5039797,2017-02-08,S13306,Pontybridge,E Coli,0,Orgs/100mL
5039772,2017-02-08,S19152,Paethsmouth,E Coli,0,Orgs/100mL
5039756,2017-02-08,S17245,Blancathey,E Coli,0,Orgs/100mL
5039798,2017-02-08,S16589,Swadlincote,E Coli,0,Orgs/100mL
5039200,2017-02-01,S15163,Strathmore,Turbidity,7.8,NTU
5039157,2017-02-01,S18578,Blancathey,E Coli,0,Orgs/100mL
5251752,2017-07-05,S17081,Snake's Canyon,E Coli,0,Orgs/100mL
5132146,2017-04-12,S13856,Snake's Canyon,THMs,0.004,mg/L
5040066,2017-02-15,S19541,Paethsmouth,E Coli,0,Orgs/100mL
5018685,2017-01-04,S18186,Merton,Turbidity,0.2,NTU
5018712,2017-01-05,S15280,Strathmore,E Coli,0,Orgs/100mL
5018686,2017-01-05,S16332,Paethsmouth,E Coli,0,Orgs/100mL
5018819,2017-01-08,S10133,Southwold,E Coli,0,Orgs/100mL
5040061,2017-02-15,S18578,Blancathey,E Coli,0,Orgs/100mL
5040066,2017-02-15,S19541,Paethsmouth,Turbidity,0.2,NTU
5040087,2017-02-15,S11076,Strathmore,Turbidity,0.1,NTU
5132432,2017-04-20,S19541,Paethsmouth,E Coli,0,Orgs/100mL
5039302,2017-02-05,S14049,Southwold,E Coli,0,Orgs/100mL
5251748,2017-07-05,S18186,Merton,E Coli,0,Orgs/100mL
5018711,2017-01-05,S19836,Swadlincote,E Coli,0,Orgs/100mL
5040151,2017-02-19,S11765,Southwold,E Coli,0,Orgs/100mL
5306616,2017-08-02,S14567,Tarnstead,Turbidity,0.05,NTU
5280843,2017-08-02,S18186,Merton,Turbidity,0.05,NTU
5252310,2017-07-19,S16474,Snake's Canyon,THMs,0.006,mg/L
5252312,2017-07-19,S17696,Tarnstead,THMs,0.054,mg/L
5252311,2017-07-19,S13446,Wakefield,THMs,0.034,mg/L
5252466,2017-07-25,S17620,Bellmoral,E Coli,0,Orgs/100mL
5019674,2017-01-26,S18255,Swadlincote,Turbidity,0.2,NTU
5019663,2017-01-26,S17721,Tarnstead,E Coli,0,Orgs/100mL
5019674,2017-01-26,S18255,Swadlincote,E Coli,0,Orgs/100mL
5132234,2017-04-17,S14049,Southwold,Turbidity,0.1,NTU
5198740,2017-06-15,S14415,Blancathey,E Coli,2,Orgs/100mL
5093258,2017-03-16,S10837,Tarnstead,Turbidity,0.1,NTU
5093271,2017-03-16,S18703,Pontybridge,Turbidity,0.3,NTU
5040327,2017-02-22,S10837,Tarnstead,Turbidity,0.2,NTU
5040338,2017-02-22,S16510,Strathmore,Turbidity,0.1,NTU
5889569,2018-12-12,S18703,Pontybridge,Turbidity,0.2,NTU
5605815,2018-06-27,S14735,Paethsmouth,E Coli,0,Orgs/100mL
5605816,2018-06-27,S17081,Snake's Canyon,E Coli,0,Orgs/100mL
5605837,2018-06-27,S12566,Swadlincote,E Coli,0,Orgs/100mL
5605839,2018-06-27,S15280,Strathmore,Turbidity,0.05,NTU
5605817,2018-06-27,S13840,Wakefield,Turbidity,0.2,NTU
5605813,2018-06-27,S18186,Merton,E Coli,0,Orgs/100mL
5605811,2018-06-27,S12012,Blancathey,E Coli,0,Orgs/100mL
5605812,2018-06-27,S14975,Blancathey,Turbidity,0.3,NTU
5605814,2018-06-27,S13148,Paethsmouth,Turbidity,0.1,NTU
5605827,2018-06-27,S13148,Paethsmouth,THMs,0.008,mg/L
5605850,2018-06-27,S13306,Pontybridge,THMs,0.009,mg/L
5690110,2018-07-01,S12112,Southwold,E Coli,0,Orgs/100mL
5582216,2018-06-14,S14755,Blancathey,E Coli,0,Orgs/100mL
5582244,2018-06-14,S18255,Swadlincote,E Coli,0,Orgs/100mL
5582243,2018-06-14,S12119,Pontybridge,E Coli,0,Orgs/100mL
5582252,2018-06-14,S14271,Strathmore,E Coli,0,Orgs/100mL
5582218,2018-06-14,S19339,Paethsmouth,E Coli,0,Orgs/100mL
5582232,2018-06-14,S14567,Tarnstead,E Coli,0,Orgs/100mL
5735032,2018-08-15,S18682,Snake's Canyon,E Coli,0,Orgs/100mL
5735027,2018-08-15,S19339,Paethsmouth,E Coli,0,Orgs/100mL
5735023,2018-08-15,S16451,Blancathey,E Coli,0,Orgs/100mL
5693479,2018-07-11,S14363,Swadlincote,THMs,0.013,mg/L
5690617,2018-07-11,S11207,Snake's Canyon,Turbidity,0.1,NTU
5735025,2018-08-15,S17218,Blancathey,E Coli,0,Orgs/100mL
5387616,2017-12-26,S18038,Paethsmouth,Turbidity,0.3,NTU
5387647,2017-12-27,S17173,Swadlincote,E Coli,0,Orgs/100mL
5198851,2017-06-18,S11715,Southwold,Turbidity,0.2,NTU
5198993,2017-06-22,S15053,Blancathey,E Coli,0,Orgs/100mL
5251616,2017-07-02,S19084,Southwold,E Coli,0,Orgs/100mL
5264612,2017-06-28,S19541,Paethsmouth,Turbidity,0.05,NTU
5039164,2017-02-01,S14567,Tarnstead,E Coli,0,Orgs/100mL
5264596,2017-06-28,S15996,Blancathey,Turbidity,0.05,NTU
5019054,2017-01-11,S12377,Paethsmouth,E Coli,0,Orgs/100mL
5019397,2017-01-18,S11858,Wakefield,Turbidity,0.2,NTU
5019397,2017-01-18,S11858,Wakefield,E Coli,0,Orgs/100mL
5132145,2017-04-12,S18038,Paethsmouth,THMs,0.005,mg/L
5132434,2017-04-20,S11466,Snake's Canyon,E Coli,0,Orgs/100mL
5132173,2017-04-12,S16510,Strathmore,THMs,0.049,mg/L
5019382,2017-01-18,S14975,Blancathey,E Coli,0,Orgs/100mL
5019413,2017-01-18,S14812,Swadlincote,Turbidity,0.3,NTU
5039775,2017-02-08,S13971,Snake's Canyon,Turbidity,0.2,NTU
5039759,2017-02-08,S19914,Merton,Turbidity,0.3,NTU
5039302,2017-02-05,S14049,Southwold,Turbidity,0.2,NTU
5281076,2017-08-10,S13840,Wakefield,Turbidity,0.1,NTU
5280816,2017-08-01,S17769,Bellmoral,Turbidity,0.05,NTU
5280844,2017-08-02,S12377,Paethsmouth,Turbidity,0.05,NTU
5280864,2017-08-02,S16510,Strathmore,Turbidity,0.05,NTU
5280845,2017-08-02,S16371,Snake's Canyon,Turbidity,0.05,NTU
5280864,2017-08-02,S16510,Strathmore,THMs,0.042,mg/L
5280843,2017-08-02,S18186,Merton,THMs,0.27,mg/L
5280842,2017-08-02,S12437,Blancathey,Turbidity,0.05,NTU
5093337,2017-03-19,S10133,Southwold,E Coli,0,Orgs/100mL
5019664,2017-01-26,S10584,Blancathey,Turbidity,0.2,NTU
5093231,2017-03-15,S17620,Bellmoral,Turbidity,0.2,NTU
5093252,2017-03-16,S12377,Paethsmouth,Turbidity,0.2,NTU
5018701,2017-01-03,S17721,Tarnstead,E Coli,0,Orgs/100mL
5018701,2017-01-03,S17721,Tarnstead,Turbidity,0.1,NTU
5798035,2018-10-03,S11076,Strathmore,Turbidity,0.2,NTU
5798033,2018-10-03,S18865,Pontybridge,Turbidity,0.2,NTU
5798101,2018-10-07,S19084,Southwold,E Coli,0,Orgs/100mL
5847990,2018-11-21,S17805,Tarnstead,Turbidity,0.05,NTU
5847987,2018-11-21,S11466,Snake's Canyon,Turbidity,0.1,NTU
5457155,2018-01-04,S11254,Wakefield,E Coli,0,Orgs/100mL
5457173,2018-01-04,S16901,Pontybridge,Turbidity,0.2,NTU
5484330,2018-03-21,S19836,Swadlincote,Turbidity,0.05,NTU
5484311,2018-03-21,S10990,Snake's Canyon,THMs,0.1,mg/L
5484313,2018-03-21,S17721,Tarnstead,Turbidity,0.05,NTU
5491222,2018-03-25,S13371,Southwold,E Coli,0,Orgs/100mL
5484311,2018-03-21,S10990,Snake's Canyon,Turbidity,0.05,NTU
5457155,2018-01-04,S11254,Wakefield,Turbidity,0.1,NTU
5457174,2018-01-04,S14363,Swadlincote,Turbidity,0.2,NTU
5457010,2018-01-01,S14925,Southwold,Turbidity,0.1,NTU
5457506,2018-01-14,S10133,Southwold,Turbidity,0.1,NTU
5457652,2018-01-16,S14733,Bellmoral,Turbidity,0.1,NTU
5457652,2018-01-16,S14733,Bellmoral,E Coli,0,Orgs/100mL
5457522,2018-01-14,S10133,Southwold,THMs,0.007,mg/L
5735234,2018-08-22,S12051,Paethsmouth,E Coli,0,Orgs/100mL
5019052,2017-01-11,S19811,Blancathey,E Coli,0,Orgs/100mL
5265941,2017-06-29,S16510,Strathmore,Turbidity,0.05,NTU
5039771,2017-02-08,S19914,Merton,THMs,0.006,mg/L
5044721,2017-02-08,S10837,Tarnstead,THMs,0.07,mg/L
5093744,2017-03-29,S18255,Swadlincote,Turbidity,0.2,NTU
5093736,2017-03-29,S10837,Tarnstead,Turbidity,0.1,NTU
5093736,2017-03-29,S10837,Tarnstead,E Coli,0,Orgs/100mL
5040061,2017-02-15,S18578,Blancathey,Turbidity,0.1,NTU
5040078,2017-02-15,S14901,Snake's Canyon,E Coli,0,Orgs/100mL
5198513,2017-06-08,S14271,Strathmore,Turbidity,0.2,NTU
5198494,2017-06-08,S18682,Snake's Canyon,Turbidity,0.2,NTU
5385299,2017-11-02,S14271,Strathmore,E Coli,0,Orgs/100mL
5385286,2017-11-02,S18682,Snake's Canyon,Turbidity,0.2,NTU
5385286,2017-11-02,S18682,Snake's Canyon,E Coli,0,Orgs/100mL
5385272,2017-11-02,S16489,Paethsmouth,Turbidity,0.1,NTU
5385272,2017-11-02,S16489,Paethsmouth,E Coli,0,Orgs/100mL
5018710,2017-01-05,S18344,Pontybridge,Turbidity,0.2,NTU
5040067,2017-02-15,S17081,Snake's Canyon,Turbidity,0.1,NTU
5040151,2017-02-19,S11765,Southwold,Turbidity,0.2,NTU
5040074,2017-02-15,S18578,Blancathey,THMs,0.009,mg/L
5019686,2017-01-26,S18255,Swadlincote,THMs,0.008,mg/L
5019664,2017-01-26,S10584,Blancathey,E Coli,0,Orgs/100mL
5019675,2017-01-26,S14271,Strathmore,E Coli,0,Orgs/100mL
5019675,2017-01-26,S14271,Strathmore,Turbidity,8.11,NTU
5019645,2017-01-26,S17725,Paethsmouth,E Coli,0,Orgs/100mL
5019643,2017-01-26,S15053,Blancathey,E Coli,0,Orgs/100mL
5019662,2017-01-26,S11254,Wakefield,Turbidity,0.1,NTU
5132402,2017-04-19,S10232,Bellmoral,THMs,0.008,mg/L
5019663,2017-01-26,S17721,Tarnstead,Turbidity,0.1,NTU
5132453,2017-04-20,S17173,Swadlincote,E Coli,0,Orgs/100mL
5093254,2017-03-16,S14735,Paethsmouth,E Coli,0,Orgs/100mL
5093253,2017-03-16,S13148,Paethsmouth,E Coli,0,Orgs/100mL
5093272,2017-03-16,S11422,Swadlincote,E Coli,0,Orgs/100mL
5093251,2017-03-16,S13397,Merton,Turbidity,0.3,NTU
5093250,2017-03-16,S16451,Blancathey,E Coli,0,Orgs/100mL
5093272,2017-03-16,S11422,Swadlincote,Turbidity,0.2,NTU
5093273,2017-03-16,S15163,Strathmore,Turbidity,0.1,NTU
5093249,2017-03-16,S15984,Blancathey,Turbidity,0.3,NTU
5040323,2017-02-22,S19339,Paethsmouth,Turbidity,0.2,NTU
5040325,2017-02-22,S17463,Snake's Canyon,Turbidity,0.2,NTU
5132429,2017-04-20,S19914,Merton,E Coli,0,Orgs/100mL
5132392,2017-04-19,S10232,Bellmoral,E Coli,0,Orgs/100mL
5092992,2017-03-08,S16371,Snake's Canyon,E Coli,0,Orgs/100mL
5092977,2017-03-08,S14759,Blancathey,E Coli,0,Orgs/100mL
5092994,2017-03-08,S17721,Tarnstead,E Coli,0,Orgs/100mL
5093005,2017-03-08,S11076,Strathmore,Turbidity,0.1,NTU
5093005,2017-03-08,S11076,Strathmore,E Coli,0,Orgs/100mL
5092980,2017-03-08,S12436,Paethsmouth,E Coli,0,Orgs/100mL
5092993,2017-03-08,S13446,Wakefield,E Coli,0,Orgs/100mL
5093004,2017-03-08,S19836,Swadlincote,E Coli,0,Orgs/100mL
5092975,2017-03-08,S12437,Blancathey,Turbidity,0.2,NTU
5092993,2017-03-08,S13446,Wakefield,Turbidity,0.2,NTU
5092956,2017-03-07,S14758,Bellmoral,Turbidity,0.2,NTU
5093004,2017-03-08,S19836,Swadlincote,Turbidity,0.2,NTU
5093271,2017-03-16,S18703,Pontybridge,E Coli,0,Orgs/100mL
5093241,2017-03-15,S17620,Bellmoral,THMs,0.007,mg/L
5092976,2017-03-08,S17296,Blancathey,E Coli,0,Orgs/100mL
5092978,2017-03-08,S15513,Merton,Turbidity,0.2,NTU
5092978,2017-03-08,S15513,Merton,E Coli,0,Orgs/100mL
5092981,2017-03-08,S16332,Paethsmouth,E Coli,0,Orgs/100mL
5092991,2017-03-08,S11207,Snake's Canyon,Turbidity,0.2,NTU
5093067,2017-03-13,S13371,Southwold,E Coli,0,Orgs/100mL
5093006,2017-03-08,S11207,Snake's Canyon,THMs,0.007,mg/L
5121266,2017-03-08,S17721,Tarnstead,THMs,0.077,mg/L
5093013,2017-03-08,S18344,Pontybridge,THMs,0.008,mg/L
5093067,2017-03-13,S13371,Southwold,Turbidity,0.3,NTU
5092991,2017-03-08,S11207,Snake's Canyon,E Coli,0,Orgs/100mL
5092975,2017-03-08,S12437,Blancathey,E Coli,0,Orgs/100mL
5092989,2017-03-08,S15513,Merton,THMs,0.008,mg/L
5093007,2017-03-08,S13446,Wakefield,THMs,0.043,mg/L
5132081,2017-04-11,S18588,Bellmoral,Turbidity,0.2,NTU
5132139,2017-04-12,S14514,Blancathey,Turbidity,0.1,NTU
5132158,2017-04-12,S13306,Pontybridge,Turbidity,0.1,NTU
5132133,2017-04-12,S13856,Snake's Canyon,Turbidity,0.1,NTU
5132234,2017-04-17,S14049,Southwold,E Coli,0,Orgs/100mL
5132128,2017-04-12,S18038,Paethsmouth,Turbidity,0.1,NTU
5093231,2017-03-15,S17620,Bellmoral,E Coli,0,Orgs/100mL
5093256,2017-03-16,S11281,Snake's Canyon,E Coli,0,Orgs/100mL
5093251,2017-03-16,S13397,Merton,E Coli,0,Orgs/100mL
5132134,2017-04-12,S12678,Snake's Canyon,E Coli,0,Orgs/100mL
5093487,2017-03-22,S14755,Blancathey,Turbidity,0.2,NTU
5093487,2017-03-22,S14755,Blancathey,E Coli,0,Orgs/100mL
5093493,2017-03-22,S13840,Wakefield,E Coli,0,Orgs/100mL
5093511,2017-03-22,S18865,Pontybridge,Turbidity,0.2,NTU
5173409,2017-05-24,S17906,Snake's Canyon,Turbidity,0.2,NTU
5173404,2017-05-24,S17296,Blancathey,Turbidity,0.2,NTU
5173411,2017-05-24,S17721,Tarnstead,E Coli,0,Orgs/100mL
5173406,2017-05-24,S19914,Merton,E Coli,0,Orgs/100mL
5173427,2017-05-24,S18703,Pontybridge,Turbidity,0.1,NTU
5019647,2017-01-26,S13856,Snake's Canyon,Turbidity,0.2,NTU
5019632,2017-01-24,S13874,Bellmoral,Turbidity,0.1,NTU
5019646,2017-01-26,S17058,Paethsmouth,Turbidity,0.2,NTU
5019673,2017-01-26,S12119,Pontybridge,E Coli,0,Orgs/100mL
5019673,2017-01-26,S12119,Pontybridge,Turbidity,0.2,NTU
5198754,2017-06-15,S12012,Blancathey,THMs,0.005,mg/L
5198747,2017-06-15,S13856,Snake's Canyon,E Coli,0,Orgs/100mL
5198741,2017-06-15,S13397,Merton,E Coli,0,Orgs/100mL
5019494,2017-01-22,S12112,Southwold,THMs,0.009,mg/L
5172947,2017-05-10,S10584,Blancathey,E Coli,0,Orgs/100mL
5132793,2017-04-27,S17696,Tarnstead,Turbidity,0.1,NTU
5132800,2017-04-27,S16901,Pontybridge,Turbidity,0.1,NTU
5131072,2017-04-04,S16669,Bellmoral,E Coli,0,Orgs/100mL
5131150,2017-04-05,S14271,Strathmore,E Coli,0,Orgs/100mL
5131158,2017-04-05,S14101,Pontybridge,Turbidity,0.2,NTU
5131104,2017-04-06,S13798,Snake's Canyon,E Coli,0,Orgs/100mL
5131147,2017-04-05,S12566,Swadlincote,E Coli,0,Orgs/100mL
5131097,2017-04-06,S14415,Blancathey,E Coli,0,Orgs/100mL
5131150,2017-04-05,S14271,Strathmore,Turbidity,0.2,NTU
